Month, Bad
December, http://www.rappler.com/nation/46337-no-cameras-naia3-long-standing-issue
December, http://www.rappler.com/nation/46336-aquino-christmas-holiday-ceasefire
December, http://www.rappler.com/nation/46334-baby-airport-killing
December, http://www.rappler.com/nation/46227-aquino-climate-change-action-report-card
December, http://www.rappler.com/nation/46323-aquino-signs-2014-budget
December, http://www.rappler.com/nation/46322-labangan-mayor-ukol-talumpa
December, http://www.rappler.com/nation/46324-earthquake-hits-antique
December, http://www.rappler.com/nation/46321-trillanes-bill-tap-malampaya-for-power-subsidy
December, http://www.rappler.com/nation/46316-shooting-incident-reported-at-naia-3
December, http://www.rappler.com/nation/46311-de-lima-task-force-to-probe-enrile
December, http://www.rappler.com/nation/special-coverage/weather-alert/46294-20131220-am-weather-update
December, http://www.rappler.com/nation/46289-raymond-fortun-wife-shot
December, http://www.rappler.com/nation/46277-ltfrb-audit-public-utility-bus
December, http://www.rappler.com/nation/46282-aquino-review-jbc-nominations-ca-justices
December, http://www.rappler.com/nation/46260-charges-immigration-officials-escape-korean-park
December, http://www.rappler.com/nation/46271-makabayan-tro-meralco-price-hike
December, http://www.rappler.com/nation/46254-ltfrb-online-petition-speed-limiters-bus
December, http://www.rappler.com/nation/46240-dasmarinas-village-junjun-binay-makati
December, http://www.rappler.com/nation/46207-chopper-incident-afp-chief-bautista-emergency-landing
December, http://www.rappler.com/nation/46193-why-dangerous-buses-on-metro-manila-roads
December, http://www.rappler.com/nation/46202-tremor-felt-parts-luzon
December, http://www.rappler.com/nation/46189-fisherfolk-doj-probe-napocor-iloilo-oil-spill
December, http://www.rappler.com/nation/46194-aquino-pacquiao-meet-amid-tax-case
December, http://www.rappler.com/business/46183-china-arrivals-ph-up-despite-territorial-clash
December, http://www.rappler.com/nation/46173-filipino-soldiers-syrian-captors
December, http://www.rappler.com/nation/special-coverage/weather-alert/46184-20131219-philippine-weather-forecast
December, http://www.rappler.com/nation/46180-recall-comelec-order-officials-vacate-posts-macalintal
December, http://www.rappler.com/nation/46171-firecrackers-allowed-by-law
December, http://www.rappler.com/nation/46177-cpp-holiday-ceasefire
December, http://www.rappler.com/nation/46162-ducut-leave-of-absence
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/46164-lacson-hospitals-permanent-evacuation-centers
December, http://www.rappler.com/nation/46153-philippines-recovery-assistance-yolanda-haiyan-funds
December, http://www.rappler.com/nation/special-coverage/weather-alert/46125-20131218-philippine-weather-forecast
December, http://www.rappler.com/nation/46102-chinese-detained-illegal-aliens-immigration-philippines
December, http://www.rappler.com/nation/46107-ofws-killed-in-yemen-return-home
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/46113-un-supplies-seeds-for-typhoon-hit-ph-farmers
December, http://www.rappler.com/nation/46109-lorna-kapunan-supreme-court-judiciary
December, http://www.rappler.com/nation/46105-palace-will-not-push-ducut-resignation
December, http://www.rappler.com/nation/46101-sm-north-edsa-mall-security-ncr
December, http://www.rappler.com/nation/46094-bill-ph-seafarers-avoid-eu-blacklist
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/46093-philippines-catholics-mourning-typhoon-dead
December, http://www.rappler.com/nation/46080-doj-comelec-file-case-soce-deficiencies
December, http://www.rappler.com/nation/46052-yolanda-haiyan-rehabilitation-dulag
December, http://www.rappler.com/nation/46051-un-chief-ban-ki-moon-to-visit-tacloban
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/46039-ping-lacson-rehabilitation-czar-yolanda-haiyan
December, http://www.rappler.com/nation/46017-supreme-court-flip-flop-congressional-protests
December, http://www.rappler.com/nation/46032-pagcor-misused-funds-baler-movie-tickets
December, http://www.rappler.com/nation/special-coverage/weather-alert/46030-20131217-philippine-weather-forecast
December, http://www.rappler.com/nation/46026-aquino-review-leviste-parole
December, http://www.rappler.com/nation/46014-martilyo-gang-robbery-sm-north-edsa
December, http://www.rappler.com/nation/46013-doj-probe-possible-market-abuse-meralco-price-hike
December, http://www.rappler.com/nation/45987-bus-plunges-off-skyway-several-killed
December, http://www.rappler.com/nation/45982-yolanda-haiyan-rehabilitation-corruption-lacson
December, http://www.rappler.com/nation/45972-shooting-incident-sm-north-edsa
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/45968-haiyan-death-toll-rising-by-8-daily
December, http://www.rappler.com/nation/special-coverage/weather-alert/45967-20131216-philippine-weather-forecast
December, http://www.rappler.com/nation/45940-japanese-man-kidnapping-paranaque
December, http://www.rappler.com/nation/45928-npa-ransacks-police-station-misamis-occidental
December, http://www.rappler.com/nation/special-coverage/weather-alert/45922-20131215-philippine-weather-forecast
December, http://www.rappler.com/nation/special-coverage/zamboanga-crisis/45913-zamboanga-forgotten-crisis
December, http://www.rappler.com/nation/45914-transcript-romualdez-roxas-meeting-yolanda
December, http://www.rappler.com/nation/45911-aquino-romualdez-interviews-action-yolanda
December, http://www.rappler.com/newsbreak/45776-revilla-staff-pork-barrel-scam-bank-accounts
December, http://www.rappler.com/nation/45893-isabela-basilan-ied-cherry-akbar
December, http://www.rappler.com/nation/special-coverage/weather-alert/national-forecast/45892-20131214-philippine-weather-forecast
December, http://www.rappler.com/nation/45881-retired-afp-chief-delfin-bangit-dies
December, http://www.rappler.com/nation/45883-maguindanao-treasurer-survives-robbery
December, http://www.rappler.com/nation/45868-doh-injury-free-christmas-new-year-donate-disaster-survivors
December, http://www.rappler.com/nation/45866-oblation-run-2013
December, http://www.rappler.com/nation/45859-tagle-bishops-letter-aquino-manila-bay
December, http://www.rappler.com/nation/45843-senate-urged-to-probe-media-killings
December, http://www.rappler.com/nation/45860-philippines-military-drones
December, http://www.rappler.com/nation/45853-pnoy-haiyan-compensation-fossil-fuel-companies
December, http://www.rappler.com/nation/45855-sc-warns-undue-haste-ma-am-arlene-probe
December, http://www.rappler.com/nation/45849-fire-santolan
December, http://www.rappler.com/nation/45845-chinese-detained-divisoria-immigration
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/45833-yolanda-haiyan-death-toll-6000
December, http://www.rappler.com/business/industries/175-real-estate/45812-sc-tro-globe-asiatique
December, http://www.rappler.com/nation/special-coverage/weather-alert/45828-pagasa-20131213-am-update
December, http://www.rappler.com/newsbreak/45786-bishop-libel-case-aries-rufo-dismissed
December, http://www.rappler.com/nation/45795-soce-flaws-comelec-cannot-unseat-officials
December, http://www.rappler.com/nation/45809-lorna-kapunan-janet-napoles
December, http://www.rappler.com/nation/45789-government-probes-media-killings
December, http://www.rappler.com/nation/special-coverage/weather-alert/45800-20131213-philippine-weather-forecast
December, http://www.rappler.com/nation/45792-court-blocks-palawan-dmci-coal-plant
December, http://www.rappler.com/video/specials/45499-video-yolanda-haiyan-survivors-men-village-88
December, http://www.rappler.com/nation/45778-senate-napoles-probe-resumes-next-year
December, http://www.rappler.com/nation/45773-cop-dead-bukidnon-attack
December, http://www.rappler.com/nation/45770-carandang-resigns-sevilla-appointed
December, http://www.rappler.com/nation/45757-comelec-orders-vacate-office-soce
December, http://www.rappler.com/nation/45722-miriam-port-irene-budget-enrile-pork
December, http://www.rappler.com/nation/45718-de-lima-responsibility-leviste-parole
December, http://www.rappler.com/nation/45714-mar-roxas-alfred-romualdez-tacloban-haiyan
December, http://www.rappler.com/nation/45704-radioman-shot-dead-davao-del-norte
December, http://www.rappler.com/nation/45657-janet-napoles-tax-evasion
December, http://www.rappler.com/nation/special-coverage/weather-alert/45654-20131211-philippine-weather-forecast
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/45647-eo-panfilo-lacson-rehabilitation-yolanda
December, http://www.rappler.com/nation/45644-supreme-court-new-guidelines-maguindanao-massacre
December, http://www.rappler.com/nation/45632-bicam-oks-p2-264t-national-budget-for-2014
December, http://www.rappler.com/nation/45608-yolanda-haiyan-politics-lack-command-tacloban
December, http://www.rappler.com/nation/45596-supreme-court-dap-postponed
December, http://www.rappler.com/world/regions/asia-pacific/45609-kerry-to-tour-philippines-vietnam
December, http://www.rappler.com/nation/45594-filipinos-yemen-voluntary-repatriation
December, http://www.rappler.com/nation/special-coverage/weather-alert/45593-20131210-philippine-weather-forecast
December, http://www.rappler.com/nation/45573-reduce-e-waste-christmas
December, http://www.rappler.com/nation/45584-aquino-power-revoke-leviste-parole
December, http://www.rappler.com/nation/45580-aquino-japan-binay-mandela-funeral
December, http://www.rappler.com/nation/45579-yolanda-death-toll-december9
December, http://www.rappler.com/nation/45566-aquino-mulls-sanctions-for-parole-board-afte-leviste-release
December, http://www.rappler.com/nation/special-coverage/weather-alert/45542-20131209-philippine-weather-forecast
December, http://www.rappler.com/nation/45529-palace-denies-canceling-aquino-davao-oriental-trip
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/45526-month-after-yolanda-haiyan-philippines-challenges
December, http://www.rappler.com/nation/45522-aquino-probe-leviste-parole
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/45509-iloilo-homeless-christmas-yolanda-survivors
December, http://www.rappler.com/nation/45513-radio-broadcaster-gunned-down-surigao-del-sur
December, http://www.rappler.com/nation/45464-in-photos-catastrophe-by-the-numbers
December, http://www.rappler.com/nation/45478-tiangco-palace-goal-split-sc-decision-dap
December, http://www.rappler.com/nation/45473-japan-regional-tensions
December, http://www.rappler.com/nation/special-coverage/weather-alert/45467-20131208-philippine-weather-forecast
December, http://www.rappler.com/nation/45462-leviste-met-parole-requirements
December, http://www.rappler.com/nation/special-coverage/peacetalks/45457-lacierda-deles-hataman-kuala-lumpur
December, http://www.rappler.com/business/industries/173-power-and-energy/45460-palace-power-price-hike-consumers
December, http://www.rappler.com/nation/45454-lacson-roxas-yolanda-rehabilitation
December, http://www.rappler.com/nation/45461-fishermen-slain-sulu-sea-attack
December, http://www.rappler.com/business/industries/171-aviation-tourism/45455-ph-tourism-miss-targets-disasters
December, http://www.rappler.com/nation/45446-december-clashes-mindanao
December, http://www.rappler.com/nation/45445-earthquake-tawi-tawi
December, http://www.rappler.com/nation/45443-drilon-ally-rene-villa-quits
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/45441-yolanda-survivors-determined-to-hope
December, http://www.rappler.com/nation/45252-controversies-delays-military-modernization
December, http://www.rappler.com/nation/45415-antique-families-rebuild-homes-salvaged-materials
December, http://www.rappler.com/nation/special-coverage/weather-alert/national-forecast/45429-20131207-philippine-weather-forecast
December, http://www.rappler.com/nation/45413-storm-surge-scare-haunts-panay-residents
December, http://www.rappler.com/nation/45405-manay-davao-oriental-fire
December, http://www.rappler.com/nation/45403-air-force-chopper-leyte-crash-yolanda
December, http://www.rappler.com/nation/45383-miriam-comment-speech-striken-off-records
December, http://www.rappler.com/nation/45367-marawi-police-chief-released
December, http://www.rappler.com/move-ph/issues/budget-watch/45321-bicameral-meeting-2014-budget-public
December, http://www.rappler.com/nation/special-coverage/weather-alert/45376-20131206-am-weather-update
December, http://www.rappler.com/nation/45368-filipino-health-workers-dead-yemen
December, http://www.rappler.com/nation/45362-leviste-others-granted-parole
December, http://www.rappler.com/nation/45348-filipinos-dead-yemen-attack
December, http://www.rappler.com/nation/45275-philippines-disaster-preparedness-haiyan-yolanda
December, http://www.rappler.com/nation/45344-serge-miriam-speech-totally-unparliamentary
December, http://www.rappler.com/nation/45314-ateneo-kidnapping-victim-parents-statement
December, http://www.rappler.com/nation/45338-abu-sayyaf-remaining-hostages
December, http://www.rappler.com/nation/special-coverage/weather-alert/45340-20131206-philippine-weather-forecast
December, http://www.rappler.com/nation/45320-eduardo-del-rosario-resignation-yolanda-death-toll
December, http://www.rappler.com/nation/45319-bases-access-equal-access-gazmin
December, http://www.rappler.com/nation/45313-mamanwa-greenstone-gold-mine
December, http://www.rappler.com/nation/45306-general-santos-missing-fishermen-a-year-after-pablo
December, http://www.rappler.com/nation/45297-davao-oriental-wants-to-inspire-yolanda-survivors
December, http://www.rappler.com/nation/special-coverage/weather-alert/45278-20131205-philippine-weather-forecast
December, http://www.rappler.com/nation/45274-australia-julie-bishop-philippines-haiyan
December, http://www.rappler.com/nation/45273-philippines-myanmar-visa-exemption-agreement
December, http://www.rappler.com/nation/45270-drilon-no-comment-enrile-miriam
December, http://www.rappler.com/nation/45266-enrile-gigi-reyes-innocent-pork-scam
December, http://www.rappler.com/nation/45267-jordianian-baker-atyani-freed-asg
December, http://www.rappler.com/nation/45263-national-museum-no-insurance
December, http://www.rappler.com/nation/45253-yolanda-national-land-use-act
December, http://www.rappler.com/nation/45264-senate-oks-14-billion-supplemental-budget
December, http://www.rappler.com/nation/45259-no-ateneo-student-kidnapping-police
December, http://www.rappler.com/nation/45241-supreme-court-lorna-kapunan-judicial-corruption
December, http://www.rappler.com/nation/45258-full-text-miriam-santiago-speech-vs-enrile
December, http://www.rappler.com/nation/45246-miriam-enrile-womanizer-seduced-gigi-reyes
December, http://www.rappler.com/nation/45204-philippines-united-states-resume-bases-talks
December, http://www.rappler.com/nation/45188-quake-hits-davao-oriental
December, http://www.rappler.com/nation/45180-human-trafficking-worry-post-yolanda
December, http://www.rappler.com/nation/45171-filipinos-hong-kong-bird-flu-h7n9
December, http://www.rappler.com/nation/45158-ateneo-student-kidnapping-campus
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/45166-late-treatment-for-many-philippine-typhoon-victims-who
December, http://www.rappler.com/nation/45161-house-senate-budget-calamity-rehab
