Month, Bad
December, http://www.philstar.com/nation/2013/12/20/1270333/4.3-magnitude-quake-hits-boracay
December, http://www.philstar.com/nation/2013/12/20/1270332/shops-baguio-selling-bread-laced-poppy-seeds
December, http://www.philstar.com/nation/2013/12/20/1270326/mayor-baby-2-others-dead-naia-shooting
December, http://www.philstar.com/nation/2013/12/20/1270315/no-build-zones-will-pave-way-black-sand-mining-operations
December, http://www.philstar.com/nation/2013/12/20/1270309/ndrrmc-yolanda-deaths-now-6100
December, http://www.philstar.com/metro/2013/12/20/1270092/binays-dasma-village-row-false-malicious
December, http://www.philstar.com/nation/2013/12/20/1270023/cop-quezon-rubout-nabbed
December, http://www.philstar.com/metro/2013/12/20/1270093/2-chinese-get-30-years-shabu-smuggling
December, http://www.philstar.com/metro/2013/12/20/1270095/pcgg-files-plunder-raps-vs-7-ex-shipyard-officials
December, http://www.philstar.com/metro/2013/12/20/1270096/mwss-suspends-water-rate-adjustments
December, http://www.philstar.com/nation/2013/12/20/1270026/magnitude-4.5-quake-jolts-parts-luzon-mm
December, http://www.philstar.com/metro/2013/12/20/1270098/ncrpo-cops-guns-taped-holidays
December, http://www.philstar.com/nation/2013/12/20/1270027/gunmen-snatch-teacher-zambo
December, http://www.philstar.com/nation/2013/12/20/1270028/cutting-coconut-trees-aurora-banned
December, http://www.philstar.com/nation/2013/12/19/1270286/atty.-fortuns-wife-shot-front-las-pinas-home
December, http://www.philstar.com/nation/2013/12/19/1269992/korean-hurt-knife-attack
December, http://www.philstar.com/nation/2013/12/19/1269982/p100k-worth-properties-lost-warehouse-fire
December, http://www.philstar.com/nation/2013/12/19/1269965/judge-sale-drugs-gets-life-possession-gets-14-years
December, http://www.philstar.com/nation/2013/12/19/1269955/2-chinese-nationals-sentenced-30-years-over-illegal-drugs
December, http://www.philstar.com/nation/2013/12/19/1269937/pnp-placed-heightened-alert-during-holiday-rush
December, http://www.philstar.com/nation/2013/12/19/1269945/farmer-hacks-wife-death-hurts-daughters-ncotabato
December, http://www.philstar.com/nation/2013/12/19/1269936/victim-no.-6-deadly-skyway-crash-still-unidentified
December, http://www.philstar.com/nation/2013/12/19/1269929/binay-denies-ordering-arrest-posh-villages-guards
December, http://www.philstar.com/nation/2013/12/19/1269934/military-ncotabato-npas-are-human-rights-violators
December, http://www.philstar.com/nation/2013/12/19/1269922/regl-board-defers-p10-wage-hike-western-visyas
December, http://www.philstar.com/nation/2013/12/19/1269917/71-year-old-drug-pusher-falls-cebu-city-bust
December, http://www.philstar.com/nation/2013/12/19/1269918/bandits-kidnap-public-school-teacher-zamboanga
December, http://www.philstar.com/nation/2013/12/19/1269908/ndrrmc-yolanda-deaths-rise-anew-now-6092
December, http://www.philstar.com/metro/2013/12/19/1269637/same-group-eyed-2-jewelry-heists
December, http://www.philstar.com/metro/2013/12/19/1269638/still-no-justice-journalist-killed-2011-road-mishap
December, http://www.philstar.com/nation/2013/12/19/1269649/167-lawmakers-sign-resolution-hret-power
December, http://www.philstar.com/metro/2013/12/19/1269639/allow-christmas-furlough-gma
December, http://www.philstar.com/nation/2013/12/19/1269652/coa-questions-camsurs-p17.6-m-gas-expenses
December, http://www.philstar.com/metro/2013/12/19/1269640/ca-affirms-raps-vs-suspects-ruby-rose-barrameda-slay
December, http://www.philstar.com/nation/2013/12/19/1269653/kidnappers-free-japanese-trader
December, http://www.philstar.com/metro/2013/12/19/1269641/28-ofws-return-home-yemen
December, http://www.philstar.com/nation/2013/12/19/1269659/iloilos-most-wanted-killed-shootout
December, http://www.philstar.com/metro/2013/12/19/1269643/rookie-cop-nabbed-drug-bust
December, http://www.philstar.com/nation/2013/12/19/1269665/cop-loses-firearm-cash-thieves
